"","id","created_time","snippet","headline","news_desk","company_name"
"39",9,"2008-05-03T04:00:00+0000","Thousands of mainland Chinese and Hong Kong residents cheered the Olympic torch on Friday during the largely peaceful first leg of its three-month trip through China.","Hong Kong Embraces Olympic Torch","Foreign","Coca-Cola"
"40",10,"2008-03-28T04:00:00+0000","A string of planned protests centered around the Olympic torch relay is troubling news for sponsors of the event, including Coca-Cola, Lenovo and Samsung Electronics.","Sponsors of Olympic Torch Caught in Tibet Protests","Business","Coca-Cola"
"41",1,"2008-08-04T19:01:05+0000","","Just Browsing | New Coke(s)","TStyle","Coca-Cola"
"42",2,"2008-06-17T18:44:50+0000","A commercial for Coca-Cola features Stewie, the infant character from Fox's animated sitcom, ""Family Guy.""","Family Guy's Stewie Dashes for Coke","","Coca-Cola"
"43",3,"2008-11-17T19:40:32+0000","One of the longest relationships in advertising is coming to an end as PepsiCo shifts the creative duties in the United States for Pepsi-Cola from BBDO Worldwide to TBWA/Chiat/Day.","Pepsi Shifts to a New Ad Agency","Business","Coca-Cola"
"44",4,"2008-09-03T10:41:38+0000","","Coke Bids for Chinese Juice Giant","Business","Coca-Cola"
"45",5,"2008-12-16T16:56:07+0000","The 30-day pilot program covers some subway windows on A train cars with red Coca-Cola signs. Transit officials say the ads deter scratched graffiti.","Ads on Subway Windows","None","Coca-Cola"
"46",6,"2008-12-15T15:20:50+0000","The governor of New York is reportedly proposing a special tax on high-calorie soft drinks.","Governor Paterson to Levy “Obesity Tax”","","Coca-Cola"
"47",7,"2008-07-16T04:00:00+0000","Less than a year before its 60th anniversary, the North Atlantic Treaty Organization is determined to revamp its image.","NATO Hires a Coke Executive to Retool Its Brand","Foreign","Coca-Cola"
"48",8,"2008-04-25T05:00:00+0000","","The appeal of quietly good design","IHT News","Coca-Cola"
"49",9,"2008-09-04T11:52:21+0000","","Vibes Is Said to Raise $15 Million","Business","Coca-Cola"
"50",10,"2008-08-25T14:52:28+0000","And the gold medals for Olympic advertising go to…","Olympics: The Advertising Gold Medals","Media","Coca-Cola"
