"","id","created_time","snippet","headline","news_desk","company_name"
"3141",1,"2017-01-16T03:58:09+0000","The president-elect called NATO “obsolete,” praised Brexit and expressed hope for a nuclear deal with Russia in a wide-ranging interview with European newspapers.","Trump Criticizes NATO and Hopes for ‘Good Deals’ With Russia","Foreign","American Express"
"3142",2,"2017-11-10T10:39:00+0000","Here’s what you need to know to start your day.","Steve Bannon, Louis C.K., ‘Murder on the Orient Express’: Your Friday Briefing","NYTNow","American Express"
"3143",3,"2017-12-19T05:45:16+0000","Why does the United States continue to support a strongman who abets assassination and destroys democracy?","America’s Blind Eye to Honduras’s Tyrant","OpEd","American Express"
"3144",4,"2017-01-22T22:46:51+0000","Visitors respond in varying ways to exhibits at the National Museum of African American History and Culture and the National Portrait Gallery.","Two Museum Exhibits, Refracting a Divide","Culture","American Express"
"3145",5,"2017-06-05T08:00:22+0000","A book documents the complex history of black soldiers, illuminating their triumphs and challenges.","Black Soldiers: Fighting America’s Enemies Abroad and Racism at Home","","American Express"
"3146",6,"2017-01-31T20:28:41+0000","The cable, asserting that the president’s order on immigration will not make the nation safer, has wended through dozens of embassies and is still spreading.","State Dept. Dissent Cable on Trump’s Ban Draws 1,000 Signatures","Foreign","American Express"
"3147",7,"2017-02-03T01:09:00+0000","Ms. Haley made it clear at an open briefing of the United Nations Security Council that American sanctions imposed on Russia would remain in place.","Trump’s U.N. Envoy, Nikki Haley, Condemns Russia’s ‘Aggressive Actions’ in Ukraine","Foreign","American Express"
"3148",8,"2017-07-21T22:28:35+0000","Several members of the Afghan security forces were killed in Helmand Province, an area where they have already been suffering heavy casualties.","American Airstrike Hits Afghan Security Forces","Foreign","American Express"
"3149",9,"2017-09-21T18:14:51+0000","When you’re on the Brooklyn-Queens Expressway, the only question is, will you ever get off it?","Is This the Least-Loved Highway in America?","Metro","American Express"
"3150",10,"2017-04-03T02:34:24+0000","The purpose of the trip by Mr. Kushner, the son-in-law of President Trump, was unclear, though it came amid the fight to wrest Mosul from the Islamic State.","Jared Kushner Visits Iraq on Invitation From Joint Chiefs Chairman","National","American Express"
"3151",1,"2017-11-16T19:34:11+0000","It was the 10th time Russia had used its veto power to protect the Syrian government in the nearly seven-year-old war.","In U.N. Showdown, Russian Veto Kills Syria Chemical Arms Panel","Foreign","American Express"
"3152",2,"2017-01-28T01:26:40+0000","The new administration’s freeze on visas for a targeted group of countries could provide an early test of its relationship with Tehran.","In Iran, Shock and Bewilderment Over Trump Visa Crackdown","Foreign","American Express"
"3153",3,"2017-03-21T09:00:04+0000","When Americans start accusing one another of violating the nation’s spirit, it’s a good sign we can’t agree on what that spirit even is.","How ‘Un-American’ Became the Political Insult of the Moment","Magazine","American Express"
"3154",4,"2017-08-30T17:59:14+0000","Members of the Onondaga Nation wanted one of their own as principal. In a compromise, a Native American teacher will be groomed to possibly take over.","Compromise Reached in Boycott of Native American School","Metro","American Express"
"3155",5,"2017-07-03T07:21:06+0000","A madman and his legislative minions are holding America hostage.","The Hijacked American Presidency","Editorial","American Express"
"3156",6,"2017-04-15T11:57:34+0000","Former President Hamid Karzai called his successor “a traitor” for allowing the United States to drop a giant bomb in Afghanistan.","Calling Successor a ‘Traitor’, Afghan Ex-Leader Denounces U.S. Bombing","Foreign","American Express"
"3157",7,"2017-12-03T23:26:22+0000","Critics said the Trump administration’s withdrawal from U.N. talks on the migration crisis had reinforced an image of renewed American isolationism.","U.S. Quits Migration Pact, Saying It Infringes on Sovereignty","Foreign","American Express"
