"","id","created_time","snippet","headline","news_desk","company_name"
"2292",2,"2015-08-06T16:42:58+0000","Texans for Public Justice, criticized as a liberal attack machine, filed the complaints that led to the indictments of Tom DeLay, Rick Perry and Ken Paxton, the state attorney general.","Texas Watchdog Group Calls Another Political Titan to Account","National","McDonald's"
"2293",3,"2015-08-02T15:00:22+0000","“We’re trying to get as close as we can to the McDonald’s experience,” says the owner of Mash Donald’s, one of an increasing number of Iranian knockoffs of American food culture.","Iran Capitalizing on a Taste for America’s Biggest Brands","Foreign","McDonald's"
"2294",4,"2015-07-24T18:35:18+0000","No matter how much prey their pets brought back, British cat owners weren’t willing to contain them to protect wildlife, a study found.","When the Cat Comes Back, With Prey","Science","McDonald's"
"2295",5,"2015-08-10T14:25:26+0000","On the anniversary of Michael Brown’s death, three prominent activists read their tweets from the past year and reflect on the challenges and legacy of the Black Lives Matter movement.","#BlackTwitter After #Ferguson","National","McDonald's"
"2296",6,"2015-07-21T00:52:04+0000","Planned Parenthood accused abortion opponents of unlawfully infiltrating its clinics and making thousands of hours of surreptitious recordings that could be “deceptively” edited and released.","Planned Parenthood Tells Congress More Videos of Clinics Might Surface","National","McDonald's"
"2297",7,"2015-06-09T17:24:20+0000","McDonald’s, which has seen flagging sales and increased competition from healthier “fast-casual” restaurants, has hired Robert Gibbs, the former White House press secretary, to be its top spokesman.","Robert Gibbs Opts for a Burger and Fries With New McDonald’s Job","Politics","McDonald's"
"2298",8,"2015-02-09T18:17:41+0000","James B. Stewart and Geoffrey Zakarian, a chef and restaurateur, discuss the problems facing McDonald’s with CNBC’s Carl Quintanilla.","Advice for McDonald’s","","McDonald's"
"2299",9,"2015-07-12T04:15:05+0000","The bride is a vice president at a public relations firm, and the groom is a prosecutor with the Justice Department.","Jessie duPont,  James McDonald","Society","McDonald's"
"2300",10,"2015-05-17T04:15:22+0000","A managing director at Teneo, a global advisory firm, and a production manager at the Hearst Corporation are married in New York.","Evan Goetz and David McDonald","Society","McDonald's"
"2301",1,"2015-04-04T00:41:09+0000","The wage increase is minimal and leaves out workers at the company’s franchise outlets.","McDonald’s Minimum Raise","Editorial","McDonald's"
"2302",2,"2015-04-08T07:21:12+0000","Instead of playing catch-up, it should really transform itself.","McDonald’s Turns ‘Progressive’","Editorial","McDonald's"
"2303",3,"2015-05-04T14:10:29+0000","Steve Easterbrook, the new chief executive of the fast-food company, spoke of an “urgent need to reset this business” in a video message on Monday.","McDonald’s Chief Promises Turnaround in a Restructuring","Business","McDonald's"
"2304",4,"2015-05-22T01:30:56+0000","As fast-food workers and their supporters rallied for higher pay outside, McDonald’s shareholders gathered on Thursday at its headquarters in Oak Brook, Ill.","Opposing Voices Inside and Outside McDonald’s Meeting","Business","McDonald's"
"2305",5,"2015-05-25T21:32:13+0000","McDonald, a defensive end whom San Francisco released in December, was arrested on a domestic violence charge unrelated to one last year.","Bears Release Ex-49er Ray McDonald After Arrest in California","Sports","McDonald's"
"2306",6,"2015-04-22T14:00:23+0000","Efforts to combat surging rivals like Chipotle have not been as successful as the chain hoped, and quarterly earnings per share slumped 31 percent.","McDonald’s Earnings Stumble on Sluggish Sales","Business","McDonald's"
"2307",7,"2015-03-09T12:57:58+0000","The fast-food giant reported a startling 4 percent drop in February sales in the United States, and a 1.7 percent decrease globally.","Changing Tastes Blamed for Slide at McDonald’s ","Business","McDonald's"
"2308",8,"2015-02-05T19:03:13+0000","Critics say the chain’s new campaign is embarrassing, futile and unfair to workers.","Paying With ‘Lovin’’: A McDonald’s Mistake?","","McDonald's"
"2309",9,"2015-01-09T07:23:20+0000","McDonald's in Japan has been suffering with sales and safety scandals, while investors and consumers are losing faith in the golden arches. Yonggi Kang reports.","McDonald's Japan shaken by scandals","","McDonald's"
"2310",10,"2015-05-04T20:27:36+0000","McDonald's is cutting back, selling more restaurants to franchisees, and slashing costs in a plan light on details, but heavy on promises to turn around the business. Bobbi Rebell reports.","McDonald's putting itself on a diet","","McDonald's"
"2311",1,"2015-04-22T15:09:25+0000","McDonald's quarterly profit plunged yet again, but investors are betting on a turnaround under new CEO Steve Easterbrook. Fred Katayama reports.","McDonald's turnaround plan in works","","McDonald's"
"2312",2,"2015-01-15T09:24:19+0000","McDonalds tests new cafe in Sydney where quinoa salad replaces burgers and fries. Julie Noce reports.","McDonalds tries healthy approach","","McDonald's"
"2313",3,"2015-01-15T08:27:31+0000","McDonalds tests new cafe in Sydney where quinoa salad replaces burgers and fries. Julie Noce reports.","McDonalds tries healthy approach","","McDonald's"
"2314",4,"2015-03-04T22:04:05+0000","McDonald's decision to phase out human antibiotics from its chicken supply is part of the fast food chain's efforts to please customers looking for more natural ingredients, but it still falls short of rivals' policies. Bobbi Rebell reports.","McDonald's latest  health move","","McDonald's"
"2315",5,"2015-03-04T15:52:39+0000","The chain said that within two years its domestic restaurants would no longer use birds treated with antibiotics “important to human medicine.”","McDonald’s Moving to Limit Antibiotic Use in Chickens ","Business","McDonald's"
"2316",6,"2015-02-10T02:00:57+0000","The Williamstown Theater Festival in Massachusetts will include that Eugene O’Neill drama, as well as the world premieres of a William Inge play, “Off the Main Road,” and “Paradise Blue,” a drama by Dominique Morisseau.","Audra McDonald and Will Swenson to Star in ‘A Moon for the Misbegotten’ in Williamstown","Culture","McDonald's"
"2317",7,"2015-04-01T20:21:50+0000","A day after nationwide protests, the company said it was raising wages at least $1 over the local minimum wage at the restaurants it operates. Franchise outlets may feel new pressure.","McDonald’s to Raise Pay at Outlets It Operates","Business","McDonald's"
"2318",8,"2015-06-09T23:15:31+0000","Mr. Gibbs, who left the White House in 2011, will join McDonald’s as global chief communications officer.","McDonald’s Hires Robert Gibbs, Ex-Press Secretary for Obama","Business","McDonald's"
"2319",9,"2015-02-05T23:28:37+0000","As fast-casual chains soar in popularity, the iconic burger chain is under pressure. A well-known food expert and a designer have some ideas for improvement.","A Visit to McDonald’s, Celebrity Chef in Tow","Business","McDonald's"
"2320",10,"2015-01-28T23:20:45+0000","Steve Easterbrook, chief branding officer, will take over from Don Thompson after one of the chain’s worst financial performances in years.","As Sales Dip, McDonald’s Is Replacing Don Thompson as Chief","Business","McDonald's"
"2321",1,"2015-12-29T20:55:05+0000","Those whose lives were chronicled in The Times were unwitting agents of a kind, briefly connecting the present with the past.","In 2015 Obituaries, Distant Eras Were Evoked","National","McDonald's"
"2322",2,"2015-12-17T19:56:14+0000","In Chicago, police have shot and killed more people in recent years than in any of the 10 largest cities in America. Yet officers are rarely disciplined. A retired officer who investigated excessive force complaints explains why.","Breaking the Code of Silence","National","McDonald's"
"2323",3,"2015-12-09T20:31:28+0000","In a rare speech before the Chicago City Council, Mayor Rahm Emanuel said the police shooting of Laquan McDonald “happened on my watch” and called for complete reform to restore trust in the police.","Chicago Mayor Apologizes","National","McDonald's"
"2324",4,"2015-12-06T23:34:06+0000","Facing mounting pressure over the shooting death of Laquan McDonald, Mayor Rahm Emanuel said the City of Chicago will release a dash-cam video of police fatally shooting another man, Ronald Johnson III, last year.","Shedding Light on a Police Shooting","National","McDonald's"
"2325",5,"2015-12-24T19:32:51+0000","Coal companies are facing insolvency, but McDonald’s is working hard to improve its image — and its food.","From Coal to McDonald’s, Catching Up on the Year’s Stories","Business","McDonald's"
"2326",6,"2015-12-29T18:31:44+0000","The lawyer for the officer said his client looked forward to a chance to get his side of the story out at trial.","Jason Van Dyke, Chicago Officer Who Shot Laquan McDonald, Pleads Not Guilty","National","McDonald's"
"2327",7,"2015-12-19T00:00:21+0000","A lawyer for Officer Jason Van Dyke, charged with Mr. McDonald’s murder, said Mayor Rahm Emanuel’s criticism might prompt him to seek a change of venue.","War of Words Escalates in Chicago Over Laquan McDonald Shooting","National","McDonald's"
"2328",8,"2015-11-30T08:20:09+0000","Recent killings by the police suggest that such violence has the implicit backing of society as a whole.","Laquan McDonald and the ‘System’","OpEd","McDonald's"
"2329",9,"2015-12-03T16:11:00+0000","Regulators from the European Competition Commission will investigate deals Luxembourg granted McDonald’s that may have led to the restaurant paying less in European Union taxes than it owes.","E.U. on McDonald's Tax Investigation","Business","McDonald's"
